Q1,Q2_1,Q3,Q3_9_TEXT,Q4,Q4_10_TEXT,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6,Q6_6_TEXT,Q7_1,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q10_1,Q10_1_TEXT,Q11_17,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_7_TEXT,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_7,Q13_6,Q13_6_TEXT,Q14,Q15,Q16,Q16_5_TEXT,Q17,Q18,Q19,Q20
Everday,6.00 ,"Spotify,Apple Music,Amazon Music,Youtube Music,Pandora",,Amazon Music,,1.00 ,7.00 ,2.00 ,4.00 ,5.00 ,7.00 ,Spotify,,2.00 ,5.00 ,6.00 ,6.00 ,6.00 ,2.00 ,1.00 ,5.00 ,4.00 ,7.00 ,5.00 ,4.00 ,4.00 ,2.00 ,5.00 ,,4.00 ,2.00 ,2.00 ,4.00 ,3.00 ,3.00 ,1.00 ,,,4.00 ,6.00 ,5.00 ,5.00 ,6.00 ,,,,Yes,0-$5,You,,Female,20-21,"less than 5,000",
Everday,2.00 ,Apple Music,,Apple Music,,3.00 ,4.00 ,,4.00 ,5.00 ,2.00 ,"Spotify,Apple Music",,1.00 ,6.00 ,6.00 ,6.00 ,6.00 ,4.00 ,2.00 ,6.00 ,6.00 ,6.00 ,6.00 ,4.00 ,5.00 ,,6.00 ,,1.00 ,3.00 ,5.00 ,,2.00 ,2.00 ,2.00 ,,,2.00 ,7.00 ,,,,,,,Yes,0-$5,You,,Male,22-23,"less than 5,000",
Everday,0.90 ,"Spotify,Pandora",,Spotify,,3.00 ,7.00 ,5.00 ,6.00 ,3.00 ,3.00 ,"Spotify,Apple Music,Sound Cloud",,4.00 ,5.00 ,7.00 ,7.00 ,6.00 ,5.00 ,4.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.00 ,5.00 ,5.00 ,Spotify,3.00 ,5.00 ,4.00 ,4.00 ,1.00 ,4.00 ,1.00 ,,,6.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,Yes,0-$5,You,,Female,20-21,"less than 5,000",
Everday,5.90 ,"Spotify,Apple Music",,Apple Music,,4.00 ,1.00 ,5.00 ,,3.00 ,1.00 ,Spotify,,0.00 ,6.00 ,7.00 ,1.00 ,4.00 ,6.00 ,1.00 ,6.00 ,7.00 ,7.00 ,4.00 ,3.00 ,7.00 ,1.00 ,6.00 ,,,2.00 ,5.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,4.00 ,7.00 ,0.00 ,0.00 ,4.00 ,,,,Yes,$11-$15,You,,Female,20-21,"less than 5,000",
5 to 6 times a week,2.50 ,"Apple Music,Youtube Music",,Apple Music,,,7.00 ,,7.00 ,3.00 ,2.00 ,"Spotify,Apple Music",,1.00 ,5.00 ,7.00 ,7.00 ,7.00 ,5.00 ,1.00 ,6.00 ,7.00 ,7.00 ,7.00 ,6.00 ,7.00 ,,6.00 ,Apple Music,0.00 ,2.00 ,5.00 ,1.00 ,4.00 ,0.00 ,0.00 ,,,4.00 ,7.00 ,5.00 ,2.00 ,,,,,No,0-$5,A parent,,Female,20-21,"less than 5,000",
5 to 6 times a week,1.00 ,Spotify,,Spotify,,3.00 ,7.00 ,0.00 ,7.00 ,4.00 ,3.00 ,Spotify,,0.00 ,7.00 ,5.00 ,7.00 ,2.00 ,6.00 ,,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,4.00 ,1.00 ,7.00 ,Spotify,,5.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,7.00 ,,,,,,,,Yes,$6-$10,You,,Male,22-23,"5,000-10,000","I am an extremely loyal Spotify user. ""Wrapped"" is an awesome feature."
Everday,1.90 ,"Spotify,Youtube Music",,Spotify,,7.00 ,7.00 ,4.00 ,7.00 ,7.00 ,7.00 ,Spotify,,6.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,,3.00 ,5.00 ,3.00 ,3.00 ,5.00 ,3.00 ,3.00 ,3.00 ,,7.00 ,3.00 ,6.00 ,5.00 ,4.00 ,2.00 ,,,Yes,0-$5,You,,Female,> 25,"less than 5,000",
Everday,2.00 ,Spotify,,Spotify,,5.00 ,1.00 ,,2.00 ,6.00 ,7.00 ,Spotify,,5.00 ,7.00 ,7.00 ,2.00 ,5.00 ,7.00 ,7.00 ,7.00 ,7.00 ,6.00 ,6.00 ,7.00 ,7.00 ,1.00 ,7.00 ,,0.00 ,5.00 ,4.00 ,3.00 ,4.00 ,2.00 ,2.00 ,,,7.00 ,5.00 ,6.00 ,4.00 ,,,,,Yes,$6-$10,You,,Female,24-25,0,
Everday,1.60 ,Apple Music,,Apple Music,,,7.00 ,,,6.00 ,,Spotify,,0.00 ,6.00 ,7.00 ,7.00 ,7.00 ,6.00 ,3.00 ,7.00 ,6.00 ,7.00 ,7.00 ,7.00 ,6.00 ,,6.00 ,Apple music,1.00 ,1.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,,,0.00 ,7.00 ,,,,,,,Yes,0-$5,You,,Female,24-25,"Greater than 10,000",
Everday,1.50 ,"Spotify,SoundCloud",,Spotify,,5.00 ,7.00 ,1.00 ,7.00 ,5.00 ,3.00 ,Spotify,,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,5.00 ,1.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,,6.00 ,Spotify,0.00 ,5.00 ,2.00 ,0.00 ,0.00 ,0.00 ,4.00 ,,,7.00 ,3.00 ,0.00 ,,0.00 ,3.00 ,,,Yes,0-$5,A parent,,Male,20-21,"5,000-10,000",
5 to 6 times a week,2.90 ,Spotify,,Spotify,,3.00 ,6.00 ,0.00 ,5.00 ,5.00 ,1.00 ,Spotify,,1.00 ,5.00 ,6.00 ,6.00 ,7.00 ,6.00 ,7.00 ,5.00 ,7.00 ,7.00 ,7.00 ,6.00 ,7.00 ,1.00 ,6.00 ,Spotify,0.00 ,5.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,7.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,Yes,0-$5,You,,Non-binary / third gender,22-23,"less than 5,000",
